rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__min_child_weight,param_model__min_split_loss,params,split0_test_score,split0_train_score
32,0.3846153846153845,0.0,0.6726964386659129,0.0,23.20490550994873,0.0,0.03091716766357422,0.0,0.5,9,1,50,"{'model__learning_rate': 0.5, 'model__max_depth': 9, 'model__min_child_weight': 1, 'model__min_split_loss': 50}",0.3846153846153845,0.6726964386659129
34,0.3834355828220859,0.0,0.7012910798122066,0.0,13.172932147979736,0.0,0.06494712829589844,0.0,0.3,3,5,10,"{'model__learning_rate': 0.3, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__min_split_loss': 10}",0.3834355828220859,0.7012910798122066
34,0.3834355828220859,0.0,0.7021151586368977,0.0,8.977896690368652,0.0,0.028990507125854492,0.0,0.3,3,10,10,"{'model__learning_rate': 0.3, 'model__max_depth': 3, 'model__min_child_weight': 10, 'model__min_split_loss': 10}",0.3834355828220859,0.7021151586368977
36,0.38258575197889183,0.0,0.6368051807879114,0.0,15.663313388824463,0.0,0.02499842643737793,0.0,0.3,6,10,50,"{'model__learning_rate': 0.3, 'model__max_depth': 6, 'model__min_child_weight': 10, 'model__min_split_loss': 50}",0.38258575197889183,0.6368051807879114
37,0.3816793893129771,0.0,0.6269925611052072,0.0,9.36120867729187,0.0,0.03606700897216797,0.0,0.5,3,1,50,"{'model__learning_rate': 0.5, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__min_split_loss': 50}",0.3816793893129771,0.6269925611052072
38,0.38135593220338987,0.0,0.6640625,0.0,24.24005365371704,0.0,0.043058156967163086,0.0,0.1,9,5,50,"{'model__learning_rate': 0.1, 'model__max_depth': 9, 'model__min_child_weight': 5, 'model__min_split_loss': 50}",0.38135593220338987,0.6640625
39,0.38062283737024216,0.0,0.7604562737642585,0.0,12.976811170578003,0.0,0.044879913330078125,0.0,0.1,6,5,0,"{'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__min_child_weight': 5, 'model__min_split_loss': 0}",0.38062283737024216,0.7604562737642585
40,0.3804347826086956,0.0,0.6374722838137471,0.0,11.368591785430908,0.0,0.028923749923706055,0.0,0.01,6,5,0,"{'model__learning_rate': 0.01, 'model__max_depth': 6, 'model__min_child_weight': 5, 'model__min_split_loss': 0}",0.3804347826086956,0.6374722838137471
40,0.3804347826086956,0.0,0.6378258458125347,0.0,14.034462213516235,0.0,0.03490757942199707,0.0,0.01,6,5,10,"{'model__learning_rate': 0.01, 'model__max_depth': 6, 'model__min_child_weight': 5, 'model__min_split_loss': 10}",0.3804347826086956,0.6378258458125347
42,0.3802281368821293,0.0,0.8113590263691682,0.0,15.94486403465271,0.0,0.04599165916442871,0.0,0.3,6,10,0,"{'model__learning_rate': 0.3, 'model__max_depth': 6, 'model__min_child_weight': 10, 'model__min_split_loss': 0}",0.3802281368821293,0.8113590263691682
43,0.37974683544303794,0.0,0.7155635062611807,0.0,13.832533359527588,0.0,0.03989362716674805,0.0,0.1,6,10,10,"{'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__min_child_weight': 10, 'model__min_split_loss': 10}",0.37974683544303794,0.7155635062611807
44,0.3795379537953795,0.0,0.7471980074719801,0.0,16.051653623580933,0.0,0.05500197410583496,0.0,0.5,6,5,10,"{'model__learning_rate': 0.5, 'model__max_depth': 6, 'model__min_child_weight': 5, 'model__min_split_loss': 10}",0.3795379537953795,0.7471980074719801
45,0.37940379403794044,0.0,0.6542056074766356,0.0,14.0980224609375,0.0,0.024991989135742188,0.0,0.3,6,5,50,"{'model__learning_rate': 0.3, 'model__max_depth': 6, 'model__min_child_weight': 5, 'model__min_split_loss': 50}",0.37940379403794044,0.6542056074766356
46,0.37921348314606745,0.0,0.6715165081141579,0.0,24.111485242843628,0.0,0.03402233123779297,0.0,0.3,9,10,50,"{'model__learning_rate': 0.3, 'model__max_depth': 9, 'model__min_child_weight': 10, 'model__min_split_loss': 50}",0.37921348314606745,0.6715165081141579
47,0.3781512605042017,0.0,0.8486562942008486,0.0,12.689512491226196,0.0,0.033910274505615234,0.0,0.8,3,1,0,"{'model__learning_rate': 0.8, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__min_split_loss': 0}",0.3781512605042017,0.8486562942008486
48,0.3776978417266187,0.0,0.7687379884689302,0.0,16.677534580230713,0.0,0.09598803520202637,0.0,0.8,6,1,10,"{'model__learning_rate': 0.8, 'model__max_depth': 6, 'model__min_child_weight': 1, 'model__min_split_loss': 10}",0.3776978417266187,0.7687379884689302
49,0.37735849056603776,0.0,0.5855855855855857,0.0,27.10063147544861,0.0,0.07878994941711426,0.0,0.1,9,10,100,"{'model__learning_rate': 0.1, 'model__max_depth': 9, 'model__min_child_weight': 10, 'model__min_split_loss': 100}",0.37735849056603776,0.5855855855855857
50,0.3771289537712895,0.0,0.5990663900414939,0.0,12.14784049987793,0.0,0.03298521041870117,0.0,0.8,3,10,100,"{'model__learning_rate': 0.8, 'model__max_depth': 3, 'model__min_child_weight': 10, 'model__min_split_loss': 100}",0.3771289537712895,0.5990663900414939
51,0.3770949720670391,0.0,0.6708004509582862,0.0,18.073508262634277,0.0,0.03390836715698242,0.0,0.1,9,1,50,"{'model__learning_rate': 0.1, 'model__max_depth': 9, 'model__min_child_weight': 1, 'model__min_split_loss': 50}",0.3770949720670391,0.6708004509582862
