rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score
45,0.3384615384615385,0.0,0.6810244470314318,0.0,0.14162278175354004,0.0,0.015954256057739258,0.0,5,50,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 50}",0.3384615384615385,0.6810244470314318
46,0.3333333333333333,0.0,0.7116898849182314,0.0,0.12466907501220703,0.0,0.022937536239624023,0.0,1,30,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.3333333333333333,0.7116898849182314
46,0.3333333333333333,0.0,0.7116898849182314,0.0,0.10671377182006836,0.0,0.006981372833251953,0.0,2,30,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 30}",0.3333333333333333,0.7116898849182314
48,0.3278688524590164,0.0,0.5600200904068307,0.0,0.09175515174865723,0.0,0.005983591079711914,0.0,80,2,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 2}",0.3278688524590164,0.5600200904068307
48,0.3278688524590164,0.0,0.5600200904068307,0.0,0.08676838874816895,0.0,0.009975194931030273,0.0,80,5,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 5}",0.3278688524590164,0.5600200904068307
48,0.3278688524590164,0.0,0.5600200904068307,0.0,0.15358662605285645,0.0,0.005983591079711914,0.0,80,10,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 10}",0.3278688524590164,0.5600200904068307
48,0.3278688524590164,0.0,0.5600200904068307,0.0,0.17253708839416504,0.0,0.02992105484008789,0.0,80,15,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 15}",0.3278688524590164,0.5600200904068307
48,0.3278688524590164,0.0,0.5600200904068307,0.0,0.11169934272766113,0.0,0.00598454475402832,0.0,80,20,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 20}",0.3278688524590164,0.5600200904068307
48,0.3278688524590164,0.0,0.5600200904068307,0.0,0.11469316482543945,0.0,0.026926279067993164,0.0,80,30,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 30}",0.3278688524590164,0.5600200904068307
48,0.3278688524590164,0.0,0.5600200904068307,0.0,0.0967400074005127,0.0,0.005983829498291016,0.0,80,50,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 50}",0.3278688524590164,0.5600200904068307
48,0.3278688524590164,0.0,0.5600200904068307,0.0,0.08477067947387695,0.0,0.005984783172607422,0.0,80,80,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 80}",0.3278688524590164,0.5600200904068307
48,0.3278688524590164,0.0,0.5600200904068307,0.0,0.15059733390808105,0.0,0.00598454475402832,0.0,80,100,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 100}",0.3278688524590164,0.5600200904068307
57,0.3260869565217391,0.0,0.6815545243619491,0.0,0.15059256553649902,0.0,0.007980823516845703,0.0,5,30,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 30}",0.3260869565217391,0.6815545243619491
58,0.3118040089086859,0.0,0.5360576923076924,0.0,0.08377432823181152,0.0,0.013962030410766602,0.0,100,2,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.3118040089086859,0.5360576923076924
58,0.3118040089086859,0.0,0.5360576923076924,0.0,0.08078956604003906,0.0,0.005980491638183594,0.0,100,5,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 5}",0.3118040089086859,0.5360576923076924
58,0.3118040089086859,0.0,0.5360576923076924,0.0,0.09574294090270996,0.0,0.00998067855834961,0.0,100,10,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 10}",0.3118040089086859,0.5360576923076924
58,0.3118040089086859,0.0,0.5360576923076924,0.0,0.08377695083618164,0.0,0.0059816837310791016,0.0,100,15,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 15}",0.3118040089086859,0.5360576923076924
58,0.3118040089086859,0.0,0.5360576923076924,0.0,0.13216471672058105,0.0,0.008974552154541016,0.0,100,20,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 20}",0.3118040089086859,0.5360576923076924
58,0.3118040089086859,0.0,0.5360576923076924,0.0,0.09475326538085938,0.0,0.00896763801574707,0.0,100,30,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.3118040089086859,0.5360576923076924
58,0.3118040089086859,0.0,0.5360576923076924,0.0,0.08477210998535156,0.0,0.007979393005371094,0.0,100,50,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 50}",0.3118040089086859,0.5360576923076924
