rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score
38,0.27227722772277224,0.0,0.9750270090584228,0.0,2.7816083431243896,0.0,0.1017296314239502,0.0,20,20,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 20}",0.27227722772277224,0.9750270090584228
38,0.27227722772277224,0.0,0.9750270090584228,0.0,2.876354694366455,0.0,0.0997321605682373,0.0,20,30,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 30}",0.27227722772277224,0.9750270090584228
44,0.2463054187192118,0.0,0.9749864960319108,0.0,2.849425792694092,0.0,0.10172820091247559,0.0,20,100,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 100}",0.2463054187192118,0.9749864960319108
45,0.24193548387096775,0.0,0.9764877236787348,0.0,2.9616177082061768,0.0,0.10471868515014648,0.0,10,80,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 80}",0.24193548387096775,0.9764877236787348
46,0.23195876288659792,0.0,0.9753764245903004,0.0,2.838409900665283,0.0,0.10471987724304199,0.0,15,80,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 80}",0.23195876288659792,0.9753764245903004
47,0.23076923076923078,0.0,0.9752952919647314,0.0,2.862881898880005,0.0,0.09873414039611816,0.0,15,2,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 2}",0.23076923076923078,0.9752952919647314
47,0.23076923076923078,0.0,0.9752952919647314,0.0,2.8818280696868896,0.0,0.09573698043823242,0.0,15,5,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 5}",0.23076923076923078,0.9752952919647314
47,0.23076923076923078,0.0,0.9752952919647314,0.0,2.8539106845855713,0.0,0.09074854850769043,0.0,15,10,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 10}",0.23076923076923078,0.9752952919647314
47,0.23076923076923078,0.0,0.9752952919647314,0.0,2.840939521789551,0.0,0.0887610912322998,0.0,15,15,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 15}",0.23076923076923078,0.9752952919647314
47,0.23076923076923078,0.0,0.9752952919647314,0.0,2.860351324081421,0.0,0.09773898124694824,0.0,15,20,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 20}",0.23076923076923078,0.9752952919647314
