rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__min_child_weight,param_model__min_split_loss,params,split0_test_score,split0_train_score
49,0.38062283737024216,0.0,0.9850721784776904,0.0,13.485499382019043,0.0,0.03191518783569336,0.0,0.8,3,10,0,"{'model__learning_rate': 0.8, 'model__max_depth': 3, 'model__min_child_weight': 10, 'model__min_split_loss': 0}",0.38062283737024216,0.9850721784776904
50,0.37921348314606745,0.0,0.9767404033832141,0.0,28.775680541992188,0.0,0.03690004348754883,0.0,0.1,6,1,50,"{'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__min_child_weight': 1, 'model__min_split_loss': 50}",0.37921348314606745,0.9767404033832141
51,0.37859007832898167,0.0,0.972458485216687,0.0,33.72896409034729,0.0,0.02704024314880371,0.0,0.3,9,1,100,"{'model__learning_rate': 0.3, 'model__max_depth': 9, 'model__min_child_weight': 1, 'model__min_split_loss': 100}",0.37859007832898167,0.972458485216687
52,0.3782894736842105,0.0,0.9818107500510934,0.0,14.508515357971191,0.0,0.04945874214172363,0.0,0.5,3,1,10,"{'model__learning_rate': 0.5, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__min_split_loss': 10}",0.3782894736842105,0.9818107500510934
53,0.37800687285223367,0.0,0.9836199836199838,0.0,28.054100513458252,0.0,0.05884361267089844,0.0,0.1,6,5,0,"{'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__min_child_weight': 5, 'model__min_split_loss': 0}",0.37800687285223367,0.9836199836199838
54,0.3773584905660377,0.0,0.9805682560418028,0.0,30.885522842407227,0.0,0.07500338554382324,0.0,0.1,6,10,10,"{'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__min_child_weight': 10, 'model__min_split_loss': 10}",0.3773584905660377,0.9805682560418028
54,0.3773584905660377,0.0,0.9808084932625563,0.0,32.8210129737854,0.0,0.03948354721069336,0.0,0.5,9,5,50,"{'model__learning_rate': 0.5, 'model__max_depth': 9, 'model__min_child_weight': 5, 'model__min_split_loss': 50}",0.3773584905660377,0.9808084932625563
56,0.3766233766233766,0.0,0.9726499189627228,0.0,32.98708438873291,0.0,0.09900021553039551,0.0,0.1,9,1,100,"{'model__learning_rate': 0.1, 'model__max_depth': 9, 'model__min_child_weight': 1, 'model__min_split_loss': 100}",0.3766233766233766,0.9726499189627228
57,0.37383177570093457,0.0,0.9928081342481607,0.0,37.886085748672485,0.0,0.05199718475341797,0.0,0.1,9,1,0,"{'model__learning_rate': 0.1, 'model__max_depth': 9, 'model__min_child_weight': 1, 'model__min_split_loss': 0}",0.37383177570093457,0.9928081342481607
58,0.37330316742081454,0.0,0.965762793691664,0.0,26.434916019439697,0.0,0.060831546783447266,0.0,0.1,6,1,100,"{'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__min_child_weight': 1, 'model__min_split_loss': 100}",0.37330316742081454,0.965762793691664
